symbol,company name,marketCap,price,change,revenue,volume,industry,sector,revenueGrowth,netIncome,free_cash_flow,net_cash_debt
EVGO,"EVgo, Inc.",1191396048.0,4.0,-3.15,72188000.0,3479761.0,Specialty Retail,Consumer Discretionary,179.98293449171933,-26252000.0,-295529000.0,81836000.0
NAAS,NaaS Technology Inc.,1189645340.0,5.33,-1.11,,995928.0,Specialty Retail,Consumer Discretionary,,,,-6610917.030567685
KROS,"Keros Therapeutics, Inc.",1188693156.0,40.18,0.78,,285433.0,Biotechnology,Healthcare,,-116297000.0,-105026000.0,338762000.0
USLM,"United States Lime & Minerals, Inc.",1188650945.0,208.89,1.49,252018000.0,12623.0,Building Materials,Materials,26.967605420928,53865000.0,51538000.0,142073000.0
HTLF,"Heartland Financial USA, Inc.",1186119330.0,27.87,-2.0,724264000.0,237857.0,Banks - Regional,Financials,3.097638017204196,213817000.0,378081000.0,-102323000.0
CNXN,"PC Connection, Inc.",1185119760.0,45.1,-0.09,3064197000.0,38433.0,Electronics & Computer Distribution,Technology,0.6619477294535825,81625000.0,84171000.0,130187000.0
COMM,"CommScope Holding Company, Inc.",1181117700.0,5.63,0.18,9001000000.0,3976649.0,Communication Equipment,Technology,2.947399723216626,-1203200000.0,111300000.0,-9115200000.0
CRNC,Cerence Inc.,1178234993.0,29.23,1.0,299236000.0,393718.0,Software - Application,Technology,-20.327597361967932,-357641000.0,-13982000.0,-187101000.0
HIMX,"Himax Technologies, Inc.",1177200000.0,6.75,-1.03,1032731000.0,800494.0,Semiconductors,Technology,-37.44459103062198,136037000.0,136409000.0,-190478000.0
ADEA,Adeia Inc.,1170759360.0,11.01,0.64,665556000.0,645596.0,Software - Application,Technology,-0.6466752651189456,-291803000.0,191511000.0,-568738000.0
TWST,Twist Bioscience Corporation,1169229666.0,20.46,4.6,227842000.0,1538462.0,Diagnostics & Research,Healthcare,39.682675919908775,-212612000.0,-211731000.0,296438000.0
EWCZ,"European Wax Center, Inc.",1169095879.0,18.63,-0.27,211817000.0,319937.0,Household & Personal Products,Consumer Staples,13.001008285008563,4884000.0,42763000.0,-328255000.0
AEHR,Aehr Test Systems,1168950750.0,41.25,3.02,62981000.0,1617522.0,Semiconductor Equipment & Materials,Technology,64.96673476871497,14240000.0,3000000.0,36373000.0
CMCO,Columbus McKinnon Corporation,1167720030.0,40.65,-1.09,936240000.0,134269.0,Farm & Heavy Construction Machinery,Industrials,3.2744841736022545,48429000.0,71377000.0,-338416000.0
VERV,"Verve Therapeutics, Inc.",1161196875.0,18.75,-0.11,3345000.0,549269.0,Biotechnology,Healthcare,,-179196000.0,-151620000.0,444584000.0
CTKB,"Cytek Biosciences, Inc.",1158596248.0,8.54,4.02,166060000.0,897771.0,Medical Devices,Healthcare,19.689783915469008,-2210000.0,-17486000.0,288239000.0
WINA,Winmark Corporation,1151406779.0,332.47,-1.64,81884600.0,22811.0,Specialty Retail,Consumer Discretionary,2.86092572144947,38515100.0,44178200.0,-51624300.0
DMLP,"Dorchester Minerals, L.P.",1149610140.0,29.96,0.54,170566000.0,72670.0,Oil & Gas E&P,Energy,46.99530314129356,123889000.0,157185000.0,43476000.0
IESC,"IES Holdings, Inc.",1147343544.0,56.88,0.04,2328461000.0,103977.0,Engineering & Construction,Industrials,24.39715652774128,73663000.0,84068000.0,-35728000.0
TVTX,"Travere Therapeutics, Inc.",1145977405.0,15.36,0.39,220524000.0,643321.0,Biotechnology,Healthcare,-3.5201470009187608,-288842000.0,-263345000.0,154668000.0
QSG,QuantaSing Group Ltd,1145888157.1599998,8.44,-3.1,397401789.77703625,6941.0,Education & Training Services,Consumer Staples,,-50057499.00031714,,103626297.86412586
KALU,Kaiser Aluminum Corporation,1144620936.0,71.64,-0.18,3286700000.0,81997.0,Aluminum,Materials,1.2289023038068336,-21800000.0,-213900000.0,-1081600000.0
FORTY,Formula Systems (1985) Ltd.,1142362814.0,74.505,-1.97,2585188000.0,170.0,Information Technology Services,Technology,4.138614730856505,80843000.0,,-231132000.0
ECPG,"Encore Capital Group, Inc.",1141689978.0,48.62,-0.78,1211295000.0,105607.0,Mortgage Finance,Financials,-28.635856962407146,37441000.0,157034000.0,-2923012000.0
SANA,"Sana Biotechnology, Inc.",1141345912.0,5.96,1.02,,880999.0,Biotechnology,Healthcare,,-320151000.0,-307132000.0,240907000.0
TRS,TriMas Corporation,1140733287.0,27.49,0.11,874980000.0,74863.0,Packaging & Containers,Consumer Discretionary,0.03315460334518683,56910000.0,56510000.0,-394300000.0
INBX,"Inhibrx, Inc.",1132263572.0,25.96,0.89,1280000.0,297048.0,Biotechnology,Healthcare,-82.39581900701415,-162888000.0,-128896000.0,26402000.0
AVID,"Avid Technology, Inc.",1119651450.0,25.5,0.79,414575000.0,643730.0,Electronic Gaming & Multimedia,Communication Services,-0.39737740522645115,44274000.0,21609000.0,-178113000.0
HAIN,"The Hain Celestial Group, Inc.",1118944440.0,12.51,-0.95,1805812000.0,731906.0,Packaged Foods,Consumer Staples,-4.223108076858617,-94796000.0,-10759000.0,-904760000.0
MLKN,"MillerKnoll, Inc.",1117177397.0,14.78,0.82,4230900000.0,449041.0,"Furnishings, Fixtures & Appliances",Consumer Discretionary,22.03345832131527,67400000.0,26900000.0,-1681200000.0
BUSE,First Busey Corporation,1111542060.0,20.1,-0.5,456289000.0,261262.0,Banks - Regional,Financials,8.240778080891943,136658000.0,165450000.0,-884904000.0
